684	15	0
684	15	1
684	17	1
684	19	1
684	21	1
684	22	1
684	23	1
684	25	1
684	26	1
684	27	1
684	29	1
683	29	1
682	31	1
681	32	1
681	33	1
680	33	1
679	35	1
678	35	1
677	36	1
673	39	1
670	41	1
668	43	1
664	46	1
661	50	1
657	53	1
653	56	1
652	57	1
649	58	1
648	58	1
646	58	1
645	58	1
644	59	1
643	60	1
642	60	1
639	60	1
636	60	1
633	60	1
629	60	1
624	60	1
620	59	1
617	59	1
616	59	1
614	58	1
612	58	1
609	56	1
607	54	1
605	52	1
603	50	1
602	48	1
601	47	1
601	46	1
601	45	1
601	44	1
601	43	1
601	41	1
601	39	1
601	37	1
601	35	1
601	32	1
601	30	1
601	27	1
602	27	1
602	26	1
603	25	1
604	24	1
605	23	1
607	22	1
608	21	1
609	21	1
609	20	1
611	20	1
612	20	1
613	19	1
615	19	1
617	19	1
618	19	1
619	19	1
621	19	1
623	19	1
627	19	1
629	19	1
632	19	1
635	19	1
639	19	1
642	19	1
645	19	1
647	18	1
648	18	1
651	18	1
653	18	1
654	18	1
656	18	1
658	18	1
659	18	1
660	18	1
662	18	1
664	18	1
666	18	1
668	18	1
670	18	1
671	18	1
672	18	1
673	18	1
674	18	1
675	18	1
677	18	1
679	18	1
680	18	1
681	18	1
682	18	1
683	18	1
684	18	1
685	17	1
686	17	1
686	17	0
683	21	0
680	22	0
676	28	0
674	29	0
666	33	0
665	34	0
652	39	0
650	42	0
638	51	0
633	53	0
623	58	0
609	69	0
586	84	0
564	96	0
537	113	0
506	128	0
475	139	0
453	141	0
446	141	0
426	141	0
420	141	0
402	141	0
396	141	0
381	141	0
377	141	0
364	141	0
360	141	0
353	139	0
348	137	0
346	133	0
346	125	0
346	117	0
349	112	0
349	111	0
355	101	0
359	97	0
370	86	0
375	84	0
390	74	0
394	72	0
407	65	0
427	57	0
446	56	0
462	56	0
479	56	0
497	56	0
511	56	0
530	56	0
534	56	0
550	56	0
554	56	0
566	56	0
568	56	0
575	56	0
583	56	0
591	56	0
596	56	0
601	56	0
604	55	0
606	55	0
608	55	0
609	55	0
611	55	0
612	55	0
614	55	0
617	55	0
618	55	0
619	56	0
621	58	0
621	59	0
622	59	0
622	60	0
622	62	0
621	64	0
619	66	0
618	68	0
618	69	0
617	69	0
616	70	0
615	70	0
615	71	0
614	71	0
611	72	0
607	77	0
601	80	0
590	85	0
587	87	0
573	94	0
566	98	0
544	109	0
537	113	0
510	117	0
466	128	0
413	139	0
363	149	0
319	160	0
286	171	0
269	176	0
261	177	0
259	177	0
252	177	0
251	177	0
243	178	0
240	179	0
230	181	0
211	185	0
186	186	0
159	188	0
139	188	0
124	188	0
114	188	0
109	188	0
107	188	0
105	188	0
101	188	0
99	188	0
97	188	0
96	188	0
94	188	0
93	188	0
90	188	0
85	188	0
82	187	0
81	187	0
80	187	0
80	187	1
80	187	0
80	186	0
92	174	0
120	153	0
158	142	0
171	139	0
220	136	0
242	136	0
295	136	0
313	136	0
374	136	0
395	136	0
447	136	0
500	134	0
531	134	0
554	134	0
569	134	0
587	134	0
609	134	0
617	134	0
636	134	0
642	134	0
657	134	0
662	132	0
671	129	0
673	129	0
679	128	0
684	126	0
687	122	0
690	120	0
694	116	0
699	113	0
705	110	0
711	108	0
715	106	0
717	105	0
718	105	0
718	104	0
718	104	1
